7,9,23,127,147,96,81,172,room1A
7,9,23,128,147,96,81,172,room1A
8,10,25,126,145,95,80,172,room1A
8,11,26,124,143,94,79,171,room1A
8,11,26,123,142,94,79,171,room1A
8,11,26,124,144,94,79,171,room1A
8,11,26,125,144,94,79,171,room1A
8,10,25,126,146,95,80,171,room1A
7,9,23,128,148,96,80,172,room1A
8,10,24,130,150,95,80,112,room1A
8,10,25,130,150,95,80,111,room1A
9,11,26,131,151,94,79,110,room1A
9,12,27,131,151,56,79,110,room1A
11,14,30,130,151,53,77,168,room1A
12,15,32,130,150,52,76,167,room1A
12,15,33,130,151,52,76,167,room1A
12,15,33,131,151,51,76,167,room1A
14,17,36,131,151,50,74,165,room1A
16,19,40,131,151,47,72,163,room1A
16,20,41,131,152,47,72,162,room1A
17,21,43,132,152,46,70,161,room1A
18,22,45,132,152,46,69,160,room1A
19,23,46,132,152,45,69,159,room1A
20,24,48,130,150,43,68,158,room1A
20,24,49,128,148,42,67,157,room1A
21,26,51,129,149,41,66,156,room1A
22,26,51,129,149,41,66,156,room1A
25,30,58,128,148,38,63,152,room1A
26,30,59,128,148,38,62,8,room1A
26,31,61,129,149,38,61,7,room1A
27,32,62,128,147,36,60,6,room1A
27,33,63,127,146,35,60,7,room1A
28,34,64,125,145,33,59,10,room1A
28,34,65,124,143,33,59,13,room1A
29,34,65,122,141,32,59,16,room1A
29,34,65,122,141,32,59,17,room1A
28,33,64,121,140,32,59,18,room1A
28,33,63,121,140,33,60,18,room1A
28,37,87,122,155,33,60,12,room1A
29,38,89,122,155,33,60,12,room1A
30,40,92,122,154,32,58,13,room1A
31,40,93,125,158,63,58,8,room1A
30,39,92,126,159,64,58,7,room1A
28,37,86,125,158,66,61,8,room1A
27,36,85,123,156,35,61,11,room1A
26,35,83,123,156,35,62,11,room1A
26,35,82,123,156,36,62,11,room1A
25,33,78,124,156,37,64,11,room1A
24,32,76,123,156,37,65,12,room1A
23,31,74,123,155,37,65,13,room1A
22,30,71,121,152,36,66,15,room1A
20,28,68,120,151,38,68,16,room1A
19,26,64,120,151,39,70,18,room1A
17,23,59,120,152,41,71,106,room1A
16,23,57,120,152,42,72,105,room1A
13,19,51,121,153,45,74,104,room1A
12,17,46,121,153,47,77,104,room1A
11,16,43,121,154,49,78,103,room1A
10,15,41,119,151,86,78,107,room1A
9,13,38,119,150,87,80,108,room1A
8,13,37,119,151,87,80,107,room1A
7,11,33,120,152,89,81,105,room1A
6,10,31,120,151,90,82,107,room1A
6,8,19,119,134,100,82,29,room1A
4,6,16,119,134,102,83,172,room1A
4,6,16,117,133,102,84,31,room1A
3,4,13,120,136,104,85,174,room1A
3,4,13,121,137,104,85,174,room1A
2,4,13,124,140,104,85,174,room1A
2,3,12,126,142,104,86,174,room1A
2,3,12,127,144,104,86,175,room1A
2,4,13,130,147,104,86,174,room1A
2,4,13,131,148,104,85,174,room1A
3,4,13,132,149,103,85,174,room1A
4,6,16,131,149,102,84,172,room1A
6,8,19,131,148,100,82,171,room1A
6,8,20,131,148,99,81,170,room1A
7,9,22,131,148,98,81,169,room1A
8,10,23,130,147,97,80,168,room1A
8,10,23,130,147,97,80,168,room1A
10,12,26,131,148,95,78,166,room1A
11,13,28,133,151,54,77,165,room1A
12,14,30,134,151,53,76,164,room1A
12,15,31,129,146,92,75,163,room1A
13,15,32,126,143,92,75,163,room1A
13,16,33,125,142,91,75,162,room1A
14,17,35,125,141,90,74,161,room1A
15,18,37,124,140,88,72,19,room1A
16,19,38,123,139,87,71,18,room1A
19,22,43,123,139,84,69,18,room1A
20,23,45,122,138,83,68,18,room1A
21,24,46,123,139,82,67,17,room1A
21,25,47,122,139,82,67,18,room1A
21,25,48,120,136,81,66,24,room1A
22,25,48,120,136,81,66,24,room1A
21,24,47,116,131,82,67,32,room1A
21,25,48,115,130,81,66,34,room1A
23,26,50,114,129,80,65,35,room1A
23,26,50,114,129,80,65,37,room1A
26,30,56,112,127,76,62,41,room1A
27,31,57,112,127,75,61,40,room1A
26,31,57,114,129,75,61,36,room1A
25,29,54,118,134,77,63,27,room1A
24,28,53,121,137,78,64,21,room1A
24,28,53,123,139,40,64,18,room1A
22,26,49,125,141,41,66,13,room1A
19,23,44,126,142,84,68,14,room1A
17,20,41,126,142,86,70,157,room1A
15,18,37,125,142,88,72,160,room1A
13,16,32,124,140,91,74,162,room1A
12,15,32,122,138,92,75,22,room1A
11,13,29,121,137,93,77,24,room1A
9,12,26,120,136,95,78,25,room1A
6,8,21,120,135,99,81,28,room1A
7,9,21,125,141,99,81,170,room1A
7,9,21,126,143,98,81,169,room1A
7,9,21,127,143,98,81,169,room1A
7,9,21,129,146,98,81,169,room1A
8,11,24,130,147,97,79,167,room1A
9,11,25,130,147,96,79,167,room1A
11,13,28,128,145,94,77,165,room1A
118,173,100,87,22,9,7,10,room1B
117,176,101,88,24,10,8,11,room1B
117,177,102,89,24,10,8,11,room1B
118,177,102,89,21,9,6,9,room1B
119,177,102,89,20,8,6,9,room1B
